2025-03-24 15:44:30,168 - Total CPU Usage: 9.3%
2025-03-24 15:44:31,189 - High Resource Usage: System Idle Process (PID: 0) - CPU: 735.8%, Memory: 0.0078125 MB
2025-03-24 15:44:33,191 - High Resource Usage: Registry (PID: 172) - CPU: 0.0%, Memory: 56.30859375 MB
2025-03-24 15:44:36,193 - High Resource Usage: chrome.exe (PID: 716) - CPU: 0.0%, Memory: 84.33984375 MB
2025-03-24 15:44:38,194 - High Resource Usage: svchost.exe (PID: 780) - CPU: 0.0%, Memory: 21.0859375 MB
2025-03-24 15:44:40,195 - High Resource Usage: SecurityHealthSystray.exe (PID: 968) - CPU: 0.0%, Memory: 12.13671875 MB
2025-03-24 15:44:41,200 - High Resource Usage: winlogon.exe (PID: 1040) - CPU: 0.0%, Memory: 14.27734375 MB
2025-03-24 15:44:42,201 - High Resource Usage: Code.exe (PID: 1052) - CPU: 0.0%, Memory: 168.30078125 MB
2025-03-24 15:44:43,202 - High Resource Usage: services.exe (PID: 1084) - CPU: 0.0%, Memory: 11.96484375 MB
2025-03-24 15:44:44,202 - High Resource Usage: lsass.exe (PID: 1104) - CPU: 0.0%, Memory: 34.0546875 MB
2025-03-24 15:44:46,204 - High Resource Usage: svchost.exe (PID: 1244) - CPU: 1.6%, Memory: 46.81640625 MB
2025-03-24 15:44:47,204 - High Resource Usage: fontdrvhost.exe (PID: 1276) - CPU: 0.0%, Memory: 110.04296875 MB
2025-03-24 15:44:50,206 - High Resource Usage: svchost.exe (PID: 1328) - CPU: 0.0%, Memory: 22.14453125 MB
2025-03-24 15:44:51,207 - High Resource Usage: svchost.exe (PID: 1412) - CPU: 0.0%, Memory: 23.12109375 MB
2025-03-24 15:44:52,208 - High Resource Usage: svchost.exe (PID: 1468) - CPU: 0.0%, Memory: 10.54296875 MB
2025-03-24 15:45:14,260 - High Resource Usage: WUDFHost.exe (PID: 1488) - CPU: 0.0%, Memory: 25.08203125 MB
2025-03-24 15:45:15,261 - High Resource Usage: svchost.exe (PID: 1632) - CPU: 0.0%, Memory: 14.2421875 MB
2025-03-24 15:45:16,262 - High Resource Usage: svchost.exe (PID: 1652) - CPU: 0.0%, Memory: 11.09375 MB
2025-03-24 15:45:16,389 - Monitoring stopped by user.
2025-03-24 15:49:33,293 - Total CPU Usage: 11.2%
2025-03-24 15:49:34,313 - High Resource Usage: System Idle Process (PID: 0) - CPU: 723.5%, Memory: 0.0078125 MB
2025-03-24 15:49:45,319 - High Resource Usage: Code.exe (PID: 1052) - CPU: 0.0%, Memory: 180.3359375 MB
2025-03-24 15:50:12,331 - High Resource Usage: MemCompression (PID: 2096) - CPU: 0.0%, Memory: 127.53125 MB
2025-03-24 15:50:16,335 - High Resource Usage: dwm.exe (PID: 2340) - CPU: 9.4%, Memory: 199.59765625 MB
2025-03-24 15:50:18,336 - High Resource Usage: ms-teams.exe (PID: 2480) - CPU: 0.0%, Memory: 114.98828125 MB
2025-03-24 15:50:37,471 - Monitoring stopped by user.
2025-03-24 15:50:50,724 - Total CPU Usage: 22.8%
2025-03-24 15:50:51,749 - High Resource Usage: System Idle Process (PID: 0) - CPU: 685.9%, Memory: 0.0078125 MB
2025-03-24 15:51:02,756 - High Resource Usage: Code.exe (PID: 1052) - CPU: 0.0%, Memory: 194.4609375 MB
2025-03-24 15:51:29,778 - High Resource Usage: MemCompression (PID: 2096) - CPU: 0.0%, Memory: 127.53125 MB
2025-03-24 15:51:33,780 - High Resource Usage: dwm.exe (PID: 2340) - CPU: 6.2%, Memory: 193.28515625 MB
2025-03-24 15:51:35,781 - High Resource Usage: ms-teams.exe (PID: 2480) - CPU: 1.6%, Memory: 114.98828125 MB
2025-03-24 15:52:32,808 - High Resource Usage: MsMpEng.exe (PID: 4600) - CPU: 1.6%, Memory: 301.4453125 MB
2025-03-24 15:52:37,811 - High Resource Usage: Code.exe (PID: 4820) - CPU: 0.0%, Memory: 218.16015625 MB
2025-03-24 15:52:46,815 - High Resource Usage: Discord.exe (PID: 5440) - CPU: 0.0%, Memory: 152.8046875 MB
2025-03-24 15:52:54,820 - High Resource Usage: steamwebhelper.exe (PID: 6720) - CPU: 0.0%, Memory: 131.3828125 MB
2025-03-24 15:52:59,822 - High Resource Usage: ShellExperienceHost.exe (PID: 6992) - CPU: 0.0%, Memory: 172.24609375 MB
2025-03-24 15:53:11,829 - High Resource Usage: msedge.exe (PID: 7968) - CPU: 0.0%, Memory: 171.75 MB
2025-03-24 15:53:21,833 - High Resource Usage: chrome.exe (PID: 8744) - CPU: 0.0%, Memory: 128.640625 MB
2025-03-24 15:53:25,835 - High Resource Usage: explorer.exe (PID: 9192) - CPU: 0.0%, Memory: 530.30859375 MB
2025-03-24 15:53:27,836 - High Resource Usage: msedgewebview2.exe (PID: 9312) - CPU: 0.0%, Memory: 212.359375 MB
2025-03-24 15:53:37,861 - High Resource Usage: StartMenuExperienceHost.exe (PID: 10280) - CPU: 0.0%, Memory: 145.19140625 MB
2025-03-24 15:53:38,861 - High Resource Usage: SearchHost.exe (PID: 10288) - CPU: 0.0%, Memory: 374.80078125 MB
2025-03-24 15:53:57,871 - High Resource Usage: Code.exe (PID: 12312) - CPU: 0.0%, Memory: 350.17578125 MB
2025-03-24 15:54:00,872 - High Resource Usage: PhoneExperienceHost.exe (PID: 12496) - CPU: 0.0%, Memory: 150.41796875 MB
2025-03-24 15:54:05,875 - High Resource Usage: LockApp.exe (PID: 12940) - CPU: 0.0%, Memory: 102.46875 MB
2025-03-24 15:54:07,877 - High Resource Usage: chrome.exe (PID: 12968) - CPU: 0.0%, Memory: 202.9140625 MB
2025-03-24 15:54:13,881 - High Resource Usage: chrome.exe (PID: 13364) - CPU: 0.0%, Memory: 157.26171875 MB
2025-03-24 15:54:22,886 - High Resource Usage: msedgewebview2.exe (PID: 14788) - CPU: 0.0%, Memory: 182.42578125 MB
2025-03-24 15:54:29,890 - High Resource Usage: msedge.exe (PID: 15536) - CPU: 0.0%, Memory: 111.2890625 MB
2025-03-24 15:54:32,892 - High Resource Usage: chrome.exe (PID: 16260) - CPU: 0.0%, Memory: 135.68359375 MB
2025-03-24 15:54:34,893 - High Resource Usage: chrome.exe (PID: 16428) - CPU: 0.0%, Memory: 283.9765625 MB
2025-03-24 15:54:35,894 - High Resource Usage: ms-teams.exe (PID: 16484) - CPU: 17.2%, Memory: 247.25 MB
2025-03-24 15:54:36,895 - High Resource Usage: chrome.exe (PID: 16500) - CPU: 0.0%, Memory: 106.66015625 MB
2025-03-24 15:54:41,899 - High Resource Usage: chrome.exe (PID: 16912) - CPU: 0.0%, Memory: 147.8984375 MB
2025-03-24 15:54:42,900 - High Resource Usage: Discord.exe (PID: 17028) - CPU: 1.6%, Memory: 498.01953125 MB
2025-03-24 15:54:43,900 - High Resource Usage: steamwebhelper.exe (PID: 17064) - CPU: 0.0%, Memory: 252.54296875 MB
2025-03-24 15:54:46,902 - High Resource Usage: Code.exe (PID: 17480) - CPU: 7.8%, Memory: 293.3671875 MB
2025-03-24 15:54:47,903 - High Resource Usage: Microsoft.AAD.BrokerPlugin.exe (PID: 17764) - CPU: 0.0%, Memory: 275.41015625 MB
2025-03-24 15:54:48,904 - High Resource Usage: Code.exe (PID: 18252) - CPU: 0.0%, Memory: 135.87109375 MB
2025-03-24 15:54:50,905 - High Resource Usage: msedge.exe (PID: 18504) - CPU: 0.0%, Memory: 193.49609375 MB
2025-03-24 15:54:51,906 - High Resource Usage: audiodg.exe (PID: 18728) - CPU: 10.9%, Memory: 19.37890625 MB
2025-03-24 15:54:53,907 - High Resource Usage: Discord.exe (PID: 18764) - CPU: 0.0%, Memory: 233.515625 MB
2025-03-24 15:54:57,909 - High Resource Usage: Code.exe (PID: 19992) - CPU: 0.0%, Memory: 107.72265625 MB
2025-03-24 15:55:01,911 - High Resource Usage: Code.exe (PID: 20796) - CPU: 0.0%, Memory: 134.32421875 MB
2025-03-24 15:55:02,912 - High Resource Usage: steamwebhelper.exe (PID: 20960) - CPU: 0.0%, Memory: 334.703125 MB
2025-03-24 15:55:05,914 - High Resource Usage: msedgewebview2.exe (PID: 21444) - CPU: 1.6%, Memory: 835.9453125 MB
2025-03-24 15:55:11,075 - High Resource Usage: chrome.exe (PID: 22700) - CPU: 0.0%, Memory: 345.51171875 MB
2025-03-24 15:55:12,901 - Monitoring stopped by user.
